delta,theta,alpha,beta,abr,tbr,dbr,tar,dar,dtabr,label
1063.619893,853.0334774,550.7470014,880.1885435,0.625714803,0.96914858,1.208400065,1.548866313,1.931231382,0.746580246,0
1199.729409,913.4326898,574.7892852,916.0592716,0.627458619,0.997132738,1.309663518,1.589160956,2.087250823,0.705506008,0
1209.444562,903.784829,575.3367953,914.3679456,0.629218028,0.988425757,1.322711024,1.57087959,2.102150552,0.704942278,0
1391.415621,961.6056707,628.2540124,958.883622,0.655193183,1.002838769,1.451078723,1.530600126,2.214734158,0.674510528,0
1409.3719,971.750338,631.4887141,946.2743792,0.667342082,1.02692238,1.48939032,1.538824553,2.231824368,0.662613228,0
1403.672276,974.025028,635.2166113,950.3282711,0.668418094,1.024935338,1.477039376,1.533374617,2.20975373,0.66684051,0
1410.521534,975.2868799,637.7220314,952.432332,0.66957201,1.023995981,1.480967715,1.529329131,2.211812459,0.666505472,0
1414.776392,972.9081188,634.9825983,949.5097343,0.668747855,1.024642596,1.490007254,1.532180758,2.228055377,0.663610425,0
1416.671824,973.2585909,635.9740417,948.69313,0.670368554,1.025894001,1.493287745,1.530343264,2.22756234,0.663059963,0
1417.100241,972.7338274,636.7054434,946.7064598,0.672547902,1.027492542,1.496873953,1.527761129,2.22567634,0.662561441,0
1418.613575,970.9450049,640.376326,945.6155819,0.677205768,1.026786173,1.500201142,1.516210024,2.215281105,0.663717525,0
979.1075045,599.9410717,410.2734076,511.4873624,0.802118366,1.1729343,1.914235964,1.462295778,2.386475668,0.583744404,0
981.1711339,605.6141596,417.7084573,547.3478214,0.76314994,1.106452124,1.792591649,1.449848929,2.348937678,0.608183276,0
972.7006356,589.9734728,390.4915336,514.0766128,0.759597935,1.147637255,1.892131662,1.510848308,2.490964725,0.578859112,0
928.6761554,459.8649045,371.3428471,502.1946071,0.739440133,0.915710559,1.849235619,1.238383634,2.500859146,0.629104518,0
931.6249291,446.8230684,354.4816548,482.1133001,0.735266284,0.926800958,1.932377574,1.260497017,2.628132984,0.606910784,0
825.5559247,361.9618744,313.435,418.9638396,0.748119456,0.863945382,1.970470591,1.154822768,2.633898335,0.616747673,0
819.2305574,362.8670437,314.1903067,408.5704439,0.768999107,0.888138261,2.005114588,1.154927558,2.60743422,0.611422229,0
267.2570169,156.0666685,139.355575,340.9142323,0.408770188,0.457788657,0.783942093,1.119916935,1.917806424,1.134521464,0
199.646979,112.7616414,133.9133785,311.0738601,0.430487404,0.362491536,0.641799279,0.842049112,1.490866568,1.424375672,0
98.68350895,108.2374076,113.1641329,281.2247967,0.402397421,0.384878606,0.350906144,0.956463897,0.872038749,1.905988704,0
82.60077096,92.76273786,103.1487097,262.4232052,0.393062457,0.353485271,0.314761688,0.899310696,0.800793061,2.084652145,0
83.40981489,87.43774279,95.35661154,259.7625219,0.367091491,0.336606459,0.321100266,0.916955221,0.874714543,2.078573076,0
81.08760844,86.08573653,94.23299241,263.3393616,0.357838615,0.326900377,0.307920578,0.913541365,0.860501257,2.138931622,0
81.853695,88.07042476,104.4209468,262.7589134,0.397402111,0.335175784,0.31151634,0.843417221,0.783881946,2.160846034,0
84.55822171,103.4316146,107.0613546,263.8732901,0.405730169,0.391974552,0.320450098,0.966096637,0.789810871,1.973163293,0
83.69864418,110.1071743,114.2952055,270.4840984,0.422557948,0.407074482,0.309440165,0.96335777,0.73230232,1.985385718,0
80.35208911,105.3409859,98.93254088,219.0241826,0.451696884,0.480955959,0.366864006,1.064775906,0.812190695,1.712270226,0
71.56824468,108.6949585,96.94530972,217.1062357,0.446533972,0.500653324,0.329646196,1.121198733,0.738233184,1.742183318,0
71.09417378,103.6349281,95.73292876,209.8554725,0.456185048,0.493839531,0.33877684,1.082542125,0.742630302,1.748926755,0
67.26658876,95.94005574,84.8698736,201.5294617,0.421128866,0.476059703,0.333780422,1.130437123,0.792585,1.754826442,0
68.94764065,101.5290095,86.71154678,206.8918569,0.41911532,0.490734682,0.333254492,1.170882233,0.79513794,1.722249958,0
76.10625367,103.7544376,86.87610365,212.736677,0.408373887,0.487712975,0.357748625,1.194280512,0.876032079,1.665804677,0
79.6166108,104.1174232,98.36397032,286.3312442,0.343532088,0.363625784,0.278057713,1.058491466,0.809408267,2.093761325,0
387.2184137,276.4375349,121.5906412,308.0305019,0.394735718,0.897435589,1.257078151,2.273509968,3.184607054,0.647355221,0
390.1942645,276.0543619,125.8880165,308.6967967,0.407804738,0.894257293,1.264004903,2.192856554,3.099534614,0.652286243,0
391.3553178,278.6725661,125.4087718,310.5602504,0.403814628,0.897322068,1.260159075,2.222113828,3.120637512,0.650672954,0
391.4489001,277.3929601,125.5238183,307.7227404,0.407912064,0.901437962,1.272083108,2.209883063,3.118522885,0.647756345,0
